seat_config,class_size,ρ₀,δλ,n_absorbed,n_found,n_stopped
outer_corner,32,0.2,0.45,20,20,0
outer_corner,32,0.2,0.49,19,20,1
outer_corner,32,0.3,0.0,20,20,0
outer_corner,32,0.3,0.1,20,20,0
outer_corner,32,0.3,0.2,20,20,0
outer_corner,32,0.3,0.3,20,20,0
outer_corner,32,0.3,0.4,20,20,0
outer_corner,32,0.3,0.45,20,20,0
outer_corner,32,0.3,0.49,19,20,1
outer_corner,32,0.4,0.0,20,20,0
outer_corner,32,0.4,0.1,20,20,0
outer_corner,32,0.4,0.2,20,20,0
outer_corner,32,0.4,0.3,20,20,0
outer_corner,32,0.4,0.4,20,20,0
outer_corner,32,0.4,0.45,20,20,0
outer_corner,32,0.4,0.49,20,20,0
outer_corner,32,0.5,0.0,20,20,0
outer_corner,32,0.5,0.1,20,20,0
outer_corner,32,0.5,0.2,20,20,0
outer_corner,32,0.5,0.3,20,20,0
outer_corner,32,0.5,0.4,20,20,0
outer_corner,32,0.5,0.45,20,20,0
outer_corner,32,0.5,0.49,20,20,0
outer_corner,32,0.6,0.0,20,20,0
outer_corner,32,0.6,0.1,20,20,0
outer_corner,32,0.6,0.2,20,20,0
outer_corner,32,0.6,0.3,20,20,0
outer_corner,32,0.6,0.4,20,20,0
outer_corner,32,0.6,0.45,20,20,0
outer_corner,32,0.6,0.49,20,20,0
outer_corner,32,0.7,0.0,20,20,0
outer_corner,32,0.7,0.1,20,20,0
outer_corner,32,0.7,0.2,20,20,0
outer_corner,32,0.7,0.3,20,20,0
outer_corner,32,0.7,0.4,20,20,0
outer_corner,32,0.7,0.45,20,20,0
outer_corner,32,0.7,0.49,20,20,0
outer_corner,32,0.8,0.0,20,20,0
outer_corner,32,0.8,0.1,20,20,0
outer_corner,32,0.8,0.2,20,20,0
outer_corner,32,0.8,0.3,20,20,0
outer_corner,32,0.8,0.4,20,20,0
outer_corner,32,0.8,0.45,20,20,0
outer_corner,32,0.8,0.49,20,20,0
outer_corner,32,0.9,0.0,20,20,0
outer_corner,32,0.9,0.1,20,20,0
outer_corner,32,0.9,0.2,20,20,0
outer_corner,32,0.9,0.3,20,20,0
outer_corner,32,0.9,0.4,20,20,0
outer_corner,32,0.9,0.45,20,20,0
outer_corner,32,0.9,0.49,20,20,0
outer_corner,32,1.0,0.0,20,20,0
outer_corner,32,1.0,0.1,20,20,0
outer_corner,32,1.0,0.2,20,20,0
outer_corner,32,1.0,0.3,20,20,0
outer_corner,32,1.0,0.4,20,20,0
outer_corner,32,1.0,0.45,20,20,0
outer_corner,32,1.0,0.49,20,20,0
outer_corner,48,0.1,0.0,20,20,0
outer_corner,48,0.1,0.1,20,20,0
outer_corner,48,0.1,0.2,20,20,0
outer_corner,48,0.1,0.3,20,20,0
outer_corner,48,0.1,0.4,20,20,0
outer_corner,48,0.1,0.45,20,20,0
outer_corner,48,0.1,0.49,19,20,1
outer_corner,48,0.2,0.0,20,20,0
outer_corner,48,0.2,0.1,20,20,0
outer_corner,48,0.2,0.2,20,20,0
outer_corner,48,0.2,0.3,20,20,0
outer_corner,48,0.2,0.4,20,20,0
outer_corner,48,0.2,0.45,20,20,0
outer_corner,48,0.2,0.49,20,20,0
outer_corner,48,0.3,0.0,20,20,0
outer_corner,48,0.3,0.1,20,20,0
outer_corner,48,0.3,0.2,20,20,0
outer_corner,48,0.3,0.3,20,20,0
outer_corner,48,0.3,0.4,20,20,0
outer_corner,48,0.3,0.45,20,20,0
outer_corner,48,0.3,0.49,20,20,0
outer_corner,48,0.4,0.0,20,20,0
outer_corner,48,0.4,0.1,20,20,0
outer_corner,48,0.4,0.2,20,20,0
outer_corner,48,0.4,0.3,20,20,0
outer_corner,48,0.4,0.4,20,20,0
outer_corner,48,0.4,0.45,20,20,0
outer_corner,48,0.4,0.49,20,20,0
outer_corner,48,0.5,0.0,20,20,0
outer_corner,48,0.5,0.1,20,20,0
outer_corner,48,0.5,0.2,20,20,0
outer_corner,48,0.5,0.3,20,20,0
outer_corner,48,0.5,0.4,20,20,0
outer_corner,48,0.5,0.45,20,20,0
outer_corner,48,0.5,0.49,20,20,0
outer_corner,48,0.6,0.0,20,20,0
outer_corner,48,0.6,0.1,20,20,0
outer_corner,48,0.6,0.2,20,20,0
outer_corner,48,0.6,0.3,20,20,0
outer_corner,48,0.6,0.4,20,20,0
outer_corner,48,0.6,0.45,20,20,0
outer_corner,48,0.6,0.49,20,20,0
outer_corner,48,0.7,0.0,20,20,0
outer_corner,48,0.7,0.1,20,20,0
outer_corner,48,0.7,0.2,20,20,0
outer_corner,48,0.7,0.3,20,20,0
outer_corner,48,0.7,0.4,20,20,0
outer_corner,48,0.7,0.45,20,20,0
outer_corner,48,0.7,0.49,20,20,0
outer_corner,48,0.8,0.0,20,20,0
outer_corner,48,0.8,0.1,20,20,0
outer_corner,48,0.8,0.2,20,20,0
outer_corner,48,0.8,0.3,20,20,0
outer_corner,48,0.8,0.4,20,20,0
outer_corner,48,0.8,0.45,20,20,0
outer_corner,48,0.8,0.49,20,20,0
outer_corner,48,0.9,0.0,20,20,0
outer_corner,48,0.9,0.1,20,20,0
outer_corner,48,0.9,0.2,20,20,0
outer_corner,48,0.9,0.3,20,20,0
outer_corner,48,0.9,0.4,20,20,0
outer_corner,48,0.9,0.45,20,20,0
outer_corner,48,0.9,0.49,20,20,0
outer_corner,48,1.0,0.0,20,20,0
outer_corner,48,1.0,0.1,20,20,0
outer_corner,48,1.0,0.2,20,20,0
outer_corner,48,1.0,0.3,20,20,0
outer_corner,48,1.0,0.4,20,20,0
outer_corner,48,1.0,0.45,20,20,0
outer_corner,48,1.0,0.49,20,20,0
outer_corner,64,0.1,0.0,20,20,0
outer_corner,64,0.1,0.1,20,20,0
outer_corner,64,0.1,0.2,20,20,0
outer_corner,64,0.1,0.3,20,20,0
outer_corner,64,0.1,0.4,20,20,0
outer_corner,64,0.1,0.45,20,20,0
outer_corner,64,0.1,0.49,20,20,0
outer_corner,64,0.2,0.0,20,20,0
outer_corner,64,0.2,0.1,20,20,0
outer_corner,64,0.2,0.2,20,20,0
outer_corner,64,0.2,0.3,20,20,0
outer_corner,64,0.2,0.4,20,20,0
outer_corner,64,0.2,0.45,20,20,0
outer_corner,64,0.2,0.49,20,20,0
outer_corner,64,0.3,0.0,20,20,0
outer_corner,64,0.3,0.1,20,20,0
outer_corner,64,0.3,0.2,20,20,0
outer_corner,64,0.3,0.3,20,20,0
outer_corner,64,0.3,0.4,20,20,0
outer_corner,64,0.3,0.45,20,20,0
outer_corner,64,0.3,0.49,20,20,0
outer_corner,64,0.4,0.0,20,20,0
outer_corner,64,0.4,0.1,20,20,0
outer_corner,64,0.4,0.2,20,20,0
outer_corner,64,0.4,0.3,20,20,0
outer_corner,64,0.4,0.4,20,20,0
outer_corner,64,0.4,0.45,20,20,0
outer_corner,64,0.4,0.49,20,20,0
outer_corner,64,0.5,0.0,20,20,0
outer_corner,64,0.5,0.1,20,20,0
outer_corner,64,0.5,0.2,20,20,0
outer_corner,64,0.5,0.3,20,20,0
outer_corner,64,0.5,0.4,20,20,0
outer_corner,64,0.5,0.45,20,20,0
outer_corner,64,0.5,0.49,20,20,0
outer_corner,64,0.6,0.0,20,20,0
outer_corner,64,0.6,0.1,20,20,0
outer_corner,64,0.6,0.2,20,20,0
outer_corner,64,0.6,0.3,20,20,0
outer_corner,64,0.6,0.4,20,20,0
outer_corner,64,0.6,0.45,20,20,0
outer_corner,64,0.6,0.49,20,20,0
outer_corner,64,0.7,0.0,20,20,0
outer_corner,64,0.7,0.1,20,20,0
outer_corner,64,0.7,0.2,20,20,0
outer_corner,64,0.7,0.3,20,20,0
outer_corner,64,0.7,0.4,20,20,0
outer_corner,64,0.7,0.45,20,20,0
outer_corner,64,0.7,0.49,20,20,0
outer_corner,64,0.8,0.0,20,20,0
outer_corner,64,0.8,0.1,20,20,0
outer_corner,64,0.8,0.2,20,20,0
outer_corner,64,0.8,0.3,20,20,0
outer_corner,64,0.8,0.4,20,20,0
outer_corner,64,0.8,0.45,20,20,0
outer_corner,64,0.8,0.49,20,20,0
outer_corner,64,0.9,0.0,20,20,0
outer_corner,64,0.9,0.1,20,20,0
outer_corner,64,0.9,0.2,20,20,0
outer_corner,64,0.9,0.3,20,20,0
outer_corner,64,0.9,0.4,20,20,0
outer_corner,64,0.9,0.45,20,20,0
outer_corner,64,0.9,0.49,20,20,0
outer_corner,64,1.0,0.0,20,20,0
outer_corner,64,1.0,0.1,20,20,0
outer_corner,64,1.0,0.2,20,20,0
outer_corner,64,1.0,0.3,20,20,0
outer_corner,64,1.0,0.4,20,20,0
outer_corner,64,1.0,0.45,20,20,0
outer_corner,64,1.0,0.49,20,20,0
outer_corner,96,0.1,0.0,20,20,0
outer_corner,96,0.1,0.1,20,20,0
outer_corner,96,0.1,0.2,20,20,0
outer_corner,96,0.1,0.3,20,20,0
outer_corner,96,0.1,0.4,20,20,0
outer_corner,96,0.1,0.45,20,20,0
outer_corner,96,0.1,0.49,20,20,0
outer_corner,96,0.2,0.0,20,20,0
outer_corner,96,0.2,0.1,20,20,0
outer_corner,96,0.2,0.2,20,20,0
outer_corner,96,0.2,0.3,20,20,0
outer_corner,96,0.2,0.4,20,20,0
outer_corner,96,0.2,0.45,20,20,0
outer_corner,96,0.2,0.49,20,20,0
outer_corner,96,0.3,0.0,20,20,0
outer_corner,96,0.3,0.1,20,20,0
outer_corner,96,0.3,0.2,20,20,0
outer_corner,96,0.3,0.3,20,20,0
outer_corner,96,0.3,0.4,20,20,0
outer_corner,96,0.3,0.45,20,20,0
outer_corner,96,0.3,0.49,20,20,0
outer_corner,96,0.4,0.0,20,20,0
outer_corner,96,0.4,0.1,20,20,0
outer_corner,96,0.4,0.2,20,20,0
outer_corner,96,0.4,0.3,20,20,0
outer_corner,96,0.4,0.4,20,20,0
outer_corner,96,0.4,0.45,20,20,0
outer_corner,96,0.4,0.49,20,20,0
outer_corner,96,0.5,0.0,20,20,0
outer_corner,96,0.5,0.1,20,20,0
outer_corner,96,0.5,0.2,20,20,0
outer_corner,96,0.5,0.3,20,20,0
outer_corner,96,0.5,0.4,20,20,0
outer_corner,96,0.5,0.45,20,20,0
outer_corner,96,0.5,0.49,20,20,0
outer_corner,96,0.6,0.0,20,20,0
outer_corner,96,0.6,0.1,20,20,0
outer_corner,96,0.6,0.2,20,20,0
outer_corner,96,0.6,0.3,20,20,0
outer_corner,96,0.6,0.4,20,20,0
outer_corner,96,0.6,0.45,20,20,0
outer_corner,96,0.6,0.49,20,20,0
outer_corner,96,0.7,0.0,20,20,0
outer_corner,96,0.7,0.1,20,20,0
outer_corner,96,0.7,0.2,20,20,0
outer_corner,96,0.7,0.3,20,20,0
outer_corner,96,0.7,0.4,20,20,0
outer_corner,96,0.7,0.45,20,20,0
outer_corner,96,0.7,0.49,20,20,0
outer_corner,96,0.8,0.0,20,20,0
outer_corner,96,0.8,0.1,20,20,0
outer_corner,96,0.8,0.2,20,20,0
outer_corner,96,0.8,0.3,20,20,0
outer_corner,96,0.8,0.4,20,20,0
outer_corner,96,0.8,0.45,20,20,0
outer_corner,96,0.8,0.49,20,20,0
outer_corner,96,0.9,0.0,20,20,0
outer_corner,96,0.9,0.1,20,20,0
outer_corner,96,0.9,0.2,20,20,0
outer_corner,96,0.9,0.3,20,20,0
outer_corner,96,0.9,0.4,20,20,0
outer_corner,96,0.9,0.45,20,20,0
outer_corner,96,0.9,0.49,20,20,0
outer_corner,96,1.0,0.0,20,20,0
outer_corner,96,1.0,0.1,20,20,0
outer_corner,96,1.0,0.2,20,20,0
outer_corner,96,1.0,0.3,20,20,0
outer_corner,96,1.0,0.4,20,20,0
outer_corner,96,1.0,0.45,20,20,0
outer_corner,96,1.0,0.49,20,20,0
outer_corner,128,0.1,0.0,20,20,0
outer_corner,128,0.1,0.1,20,20,0
outer_corner,128,0.1,0.2,20,20,0
outer_corner,128,0.1,0.3,20,20,0
outer_corner,128,0.1,0.4,20,20,0
outer_corner,128,0.1,0.45,20,20,0
outer_corner,128,0.1,0.49,20,20,0
outer_corner,128,0.2,0.0,20,20,0
outer_corner,128,0.2,0.1,20,20,0
outer_corner,128,0.2,0.2,20,20,0
outer_corner,128,0.2,0.3,20,20,0
outer_corner,128,0.2,0.4,20,20,0
outer_corner,128,0.2,0.45,20,20,0
outer_corner,128,0.2,0.49,20,20,0
outer_corner,128,0.3,0.0,20,20,0
outer_corner,128,0.3,0.1,20,20,0
outer_corner,128,0.3,0.2,20,20,0
outer_corner,128,0.3,0.3,20,20,0
outer_corner,128,0.3,0.4,20,20,0
outer_corner,128,0.3,0.45,20,20,0
outer_corner,128,0.3,0.49,20,20,0
outer_corner,128,0.4,0.0,20,20,0
outer_corner,128,0.4,0.1,20,20,0
outer_corner,128,0.4,0.2,20,20,0
outer_corner,128,0.4,0.3,20,20,0
outer_corner,128,0.4,0.4,20,20,0
outer_corner,128,0.4,0.45,20,20,0
outer_corner,128,0.4,0.49,20,20,0
outer_corner,128,0.5,0.0,20,20,0
outer_corner,128,0.5,0.1,20,20,0
outer_corner,128,0.5,0.2,20,20,0
outer_corner,128,0.5,0.3,20,20,0
outer_corner,128,0.5,0.4,20,20,0
outer_corner,128,0.5,0.45,20,20,0
outer_corner,128,0.5,0.49,20,20,0
outer_corner,128,0.6,0.0,20,20,0
outer_corner,128,0.6,0.1,20,20,0
outer_corner,128,0.6,0.2,20,20,0
outer_corner,128,0.6,0.3,20,20,0
outer_corner,128,0.6,0.4,20,20,0
outer_corner,128,0.6,0.45,20,20,0
outer_corner,128,0.6,0.49,20,20,0
outer_corner,128,0.7,0.0,20,20,0
outer_corner,128,0.7,0.1,20,20,0
outer_corner,128,0.7,0.2,20,20,0
outer_corner,128,0.7,0.3,20,20,0
outer_corner,128,0.7,0.4,20,20,0
outer_corner,128,0.7,0.45,20,20,0
outer_corner,128,0.7,0.49,20,20,0
outer_corner,128,0.8,0.0,20,20,0
outer_corner,128,0.8,0.1,20,20,0
outer_corner,128,0.8,0.2,20,20,0
outer_corner,128,0.8,0.3,20,20,0
outer_corner,128,0.8,0.4,20,20,0
outer_corner,128,0.8,0.45,20,20,0
outer_corner,128,0.8,0.49,20,20,0
outer_corner,128,0.9,0.0,20,20,0
outer_corner,128,0.9,0.1,20,20,0
outer_corner,128,0.9,0.2,20,20,0
outer_corner,128,0.9,0.3,20,20,0
outer_corner,128,0.9,0.4,20,20,0
outer_corner,128,0.9,0.45,20,20,0
outer_corner,128,0.9,0.49,20,20,0
outer_corner,128,1.0,0.0,20,20,0
outer_corner,128,1.0,0.1,20,20,0
outer_corner,128,1.0,0.2,20,20,0
outer_corner,128,1.0,0.3,20,20,0
outer_corner,128,1.0,0.4,20,20,0
outer_corner,128,1.0,0.45,20,20,0
outer_corner,128,1.0,0.49,20,20,0
random,32,0.1,0.0,20,20,0
random,32,0.1,0.1,20,20,0
random,32,0.1,0.2,20,20,0
random,32,0.1,0.3,20,20,0
random,32,0.1,0.4,20,20,0
random,32,0.1,0.45,20,20,0
random,32,0.1,0.49,9,20,11
random,32,0.2,0.0,20,20,0
random,32,0.2,0.1,20,20,0
random,32,0.2,0.2,20,20,0
random,32,0.2,0.3,20,20,0
random,32,0.2,0.4,20,20,0
random,32,0.2,0.45,20,20,0
random,32,0.2,0.49,19,20,1
random,32,0.3,0.0,20,20,0
random,32,0.3,0.1,20,20,0
random,32,0.3,0.2,20,20,0
random,32,0.3,0.3,20,20,0
random,32,0.3,0.4,20,20,0
random,32,0.3,0.45,20,20,0
random,32,0.3,0.49,19,20,1
random,32,0.4,0.0,20,20,0
random,32,0.4,0.1,20,20,0
random,32,0.4,0.2,20,20,0
random,32,0.4,0.3,20,20,0
random,32,0.4,0.4,20,20,0
random,32,0.4,0.45,20,20,0
random,32,0.4,0.49,18,20,2
random,32,0.5,0.0,20,20,0
random,32,0.5,0.1,20,20,0
random,32,0.5,0.2,20,20,0
random,32,0.5,0.3,20,20,0
random,32,0.5,0.4,20,20,0
random,32,0.5,0.45,20,20,0
random,32,0.5,0.49,20,20,0
random,32,0.6,0.0,20,20,0
random,32,0.6,0.1,20,20,0
random,32,0.6,0.2,20,20,0
random,32,0.6,0.3,20,20,0
random,32,0.6,0.4,20,20,0
random,32,0.6,0.45,20,20,0
random,32,0.6,0.49,20,20,0
random,32,0.7,0.0,20,20,0
random,32,0.7,0.1,20,20,0
random,32,0.7,0.2,20,20,0
random,32,0.7,0.3,20,20,0
random,32,0.7,0.4,20,20,0
random,32,0.7,0.45,20,20,0
random,32,0.7,0.49,20,20,0
random,32,0.8,0.0,20,20,0
random,32,0.8,0.1,20,20,0
random,32,0.8,0.2,20,20,0
random,32,0.8,0.3,20,20,0
random,32,0.8,0.4,20,20,0
random,32,0.8,0.45,20,20,0
random,32,0.8,0.49,20,20,0
random,32,0.9,0.0,20,20,0
random,32,0.9,0.1,20,20,0
random,32,0.9,0.2,20,20,0
random,32,0.9,0.3,20,20,0
random,32,0.9,0.4,20,20,0
random,32,0.9,0.45,20,20,0
random,32,0.9,0.49,19,20,1
random,32,1.0,0.0,20,20,0
random,32,1.0,0.1,20,20,0
random,32,1.0,0.2,20,20,0
random,32,1.0,0.3,20,20,0
random,32,1.0,0.4,20,20,0
random,32,1.0,0.45,20,20,0
random,32,1.0,0.49,20,20,0
random,48,0.1,0.0,20,20,0
random,48,0.1,0.1,20,20,0
random,48,0.1,0.2,20,20,0
random,48,0.1,0.3,20,20,0
random,48,0.1,0.4,20,20,0
random,48,0.1,0.45,20,20,0
random,48,0.1,0.49,18,20,2
random,48,0.2,0.0,20,20,0
random,48,0.2,0.1,20,20,0
random,48,0.2,0.2,20,20,0
random,48,0.2,0.3,20,20,0
random,48,0.2,0.4,20,20,0
random,48,0.2,0.45,20,20,0
random,48,0.2,0.49,20,20,0
random,48,0.3,0.0,20,20,0
random,48,0.3,0.1,20,20,0
random,48,0.3,0.2,20,20,0
random,48,0.3,0.3,20,20,0
random,48,0.3,0.4,20,20,0
random,48,0.3,0.45,20,20,0
random,48,0.3,0.49,20,20,0
random,48,0.4,0.0,20,20,0
random,48,0.4,0.1,20,20,0
random,48,0.4,0.2,20,20,0
random,48,0.4,0.3,20,20,0
random,48,0.4,0.4,20,20,0
random,48,0.4,0.45,20,20,0
random,48,0.4,0.49,20,20,0
random,48,0.5,0.0,20,20,0
random,48,0.5,0.1,20,20,0
random,48,0.5,0.2,20,20,0
random,48,0.5,0.3,20,20,0
random,48,0.5,0.4,20,20,0
random,48,0.5,0.45,20,20,0
random,48,0.5,0.49,20,20,0
random,48,0.6,0.0,20,20,0
random,48,0.6,0.1,20,20,0
random,48,0.6,0.2,20,20,0
random,48,0.6,0.3,20,20,0
random,48,0.6,0.4,20,20,0
random,48,0.6,0.45,20,20,0
random,48,0.6,0.49,20,20,0
random,48,0.7,0.0,20,20,0
random,48,0.7,0.1,20,20,0
random,48,0.7,0.2,20,20,0
random,48,0.7,0.3,20,20,0
random,48,0.7,0.4,20,20,0
random,48,0.7,0.45,20,20,0
random,48,0.7,0.49,20,20,0
random,48,0.8,0.0,20,20,0
random,48,0.8,0.1,20,20,0
random,48,0.8,0.2,20,20,0
random,48,0.8,0.3,20,20,0
random,48,0.8,0.4,20,20,0
random,48,0.8,0.45,20,20,0
random,48,0.8,0.49,20,20,0
random,48,0.9,0.0,20,20,0
random,48,0.9,0.1,20,20,0
random,48,0.9,0.2,20,20,0
random,48,0.9,0.3,20,20,0
random,48,0.9,0.4,20,20,0
random,48,0.9,0.45,20,20,0
random,48,0.9,0.49,20,20,0
random,48,1.0,0.0,20,20,0
random,48,1.0,0.1,20,20,0
random,48,1.0,0.2,20,20,0
random,48,1.0,0.3,20,20,0
random,48,1.0,0.4,20,20,0
random,48,1.0,0.45,20,20,0
random,48,1.0,0.49,20,20,0
random,64,0.1,0.0,20,20,0
random,64,0.1,0.1,20,20,0
random,64,0.1,0.2,20,20,0
random,64,0.1,0.3,20,20,0
random,64,0.1,0.4,20,20,0
random,64,0.1,0.45,20,20,0
random,64,0.1,0.49,19,20,1
random,64,0.2,0.0,20,20,0
random,64,0.2,0.1,20,20,0
random,64,0.2,0.2,20,20,0
random,64,0.2,0.3,20,20,0
random,64,0.2,0.4,20,20,0
random,64,0.2,0.45,20,20,0
random,64,0.2,0.49,20,20,0
random,64,0.3,0.0,20,20,0
random,64,0.3,0.1,20,20,0
random,64,0.3,0.2,20,20,0
random,64,0.3,0.3,20,20,0
random,64,0.3,0.4,20,20,0
random,64,0.3,0.45,20,20,0
random,64,0.3,0.49,20,20,0
random,64,0.4,0.0,20,20,0
random,64,0.4,0.1,20,20,0
random,64,0.4,0.2,20,20,0
random,64,0.4,0.3,20,20,0
random,64,0.4,0.4,20,20,0
random,64,0.4,0.45,20,20,0
random,64,0.4,0.49,20,20,0
random,64,0.5,0.0,20,20,0
random,64,0.5,0.1,20,20,0
random,64,0.5,0.2,20,20,0
random,64,0.5,0.3,20,20,0
random,64,0.5,0.4,20,20,0
random,64,0.5,0.45,20,20,0
random,64,0.5,0.49,20,20,0
random,64,0.6,0.0,20,20,0
random,64,0.6,0.1,20,20,0
random,64,0.6,0.2,20,20,0
random,64,0.6,0.3,20,20,0
random,64,0.6,0.4,20,20,0
random,64,0.6,0.45,20,20,0
random,64,0.6,0.49,20,20,0
random,64,0.7,0.0,20,20,0
random,64,0.7,0.1,20,20,0
random,64,0.7,0.2,20,20,0
random,64,0.7,0.3,20,20,0
random,64,0.7,0.4,20,20,0
random,64,0.7,0.45,20,20,0
random,64,0.7,0.49,20,20,0
random,64,0.8,0.0,20,20,0
random,64,0.8,0.1,20,20,0
random,64,0.8,0.2,20,20,0
random,64,0.8,0.3,20,20,0
random,64,0.8,0.4,20,20,0
random,64,0.8,0.45,20,20,0
random,64,0.8,0.49,20,20,0
random,64,0.9,0.0,20,20,0
random,64,0.9,0.1,20,20,0
random,64,0.9,0.2,20,20,0
random,64,0.9,0.3,20,20,0
random,64,0.9,0.4,20,20,0
random,64,0.9,0.45,20,20,0
random,64,0.9,0.49,20,20,0
random,64,1.0,0.0,20,20,0
random,64,1.0,0.1,20,20,0
random,64,1.0,0.2,20,20,0
random,64,1.0,0.3,20,20,0
random,64,1.0,0.4,20,20,0
random,64,1.0,0.45,20,20,0
random,64,1.0,0.49,20,20,0
random,96,0.1,0.0,20,20,0
random,96,0.1,0.1,20,20,0
random,96,0.1,0.2,20,20,0
random,96,0.1,0.3,20,20,0
random,96,0.1,0.4,20,20,0
random,96,0.1,0.45,20,20,0
random,96,0.1,0.49,20,20,0
random,96,0.2,0.0,20,20,0
random,96,0.2,0.1,20,20,0
random,96,0.2,0.2,20,20,0
random,96,0.2,0.3,20,20,0
random,96,0.2,0.4,20,20,0
random,96,0.2,0.45,20,20,0
random,96,0.2,0.49,20,20,0
random,96,0.3,0.0,20,20,0
random,96,0.3,0.1,20,20,0
random,96,0.3,0.2,20,20,0
random,96,0.3,0.3,20,20,0
random,96,0.3,0.4,20,20,0
random,96,0.3,0.45,20,20,0
random,96,0.3,0.49,20,20,0
random,96,0.4,0.0,20,20,0
random,96,0.4,0.1,20,20,0
random,96,0.4,0.2,20,20,0
random,96,0.4,0.3,20,20,0
random,96,0.4,0.4,20,20,0
random,96,0.4,0.45,20,20,0
random,96,0.4,0.49,20,20,0
random,96,0.5,0.0,20,20,0
random,96,0.5,0.1,20,20,0
random,96,0.5,0.2,20,20,0
random,96,0.5,0.3,20,20,0
random,96,0.5,0.4,20,20,0
random,96,0.5,0.45,20,20,0
random,96,0.5,0.49,20,20,0
random,96,0.6,0.0,20,20,0
random,96,0.6,0.1,20,20,0
random,96,0.6,0.2,20,20,0
random,96,0.6,0.3,20,20,0
random,96,0.6,0.4,20,20,0
random,96,0.6,0.45,20,20,0
random,96,0.6,0.49,20,20,0
random,96,0.7,0.0,20,20,0
random,96,0.7,0.1,20,20,0
random,96,0.7,0.2,20,20,0
random,96,0.7,0.3,20,20,0
random,96,0.7,0.4,20,20,0
random,96,0.7,0.45,20,20,0
random,96,0.7,0.49,20,20,0
random,96,0.8,0.0,20,20,0
random,96,0.8,0.1,20,20,0
random,96,0.8,0.2,20,20,0
random,96,0.8,0.3,20,20,0
random,96,0.8,0.4,20,20,0
random,96,0.8,0.45,20,20,0
random,96,0.8,0.49,20,20,0
random,96,0.9,0.0,20,20,0
random,96,0.9,0.1,20,20,0
random,96,0.9,0.2,20,20,0
random,96,0.9,0.3,20,20,0
random,96,0.9,0.4,20,20,0
random,96,0.9,0.45,20,20,0
random,96,0.9,0.49,20,20,0
random,96,1.0,0.0,20,20,0
random,96,1.0,0.1,20,20,0
random,96,1.0,0.2,20,20,0
random,96,1.0,0.3,20,20,0
random,96,1.0,0.4,20,20,0
random,96,1.0,0.45,20,20,0
random,96,1.0,0.49,20,20,0
random,128,0.1,0.0,20,20,0
random,128,0.1,0.1,20,20,0
random,128,0.1,0.2,20,20,0
random,128,0.1,0.3,20,20,0
random,128,0.1,0.4,20,20,0
random,128,0.1,0.45,20,20,0
random,128,0.1,0.49,20,20,0
random,128,0.2,0.0,20,20,0
random,128,0.2,0.1,20,20,0
random,128,0.2,0.2,20,20,0
random,128,0.2,0.3,20,20,0
random,128,0.2,0.4,20,20,0
random,128,0.2,0.45,20,20,0
random,128,0.2,0.49,20,20,0
random,128,0.3,0.0,20,20,0
random,128,0.3,0.1,20,20,0
random,128,0.3,0.2,20,20,0
random,128,0.3,0.3,20,20,0
random,128,0.3,0.4,20,20,0
random,128,0.3,0.45,20,20,0
random,128,0.3,0.49,20,20,0
random,128,0.4,0.0,20,20,0
random,128,0.4,0.1,20,20,0
random,128,0.4,0.2,20,20,0
random,128,0.4,0.3,20,20,0
random,128,0.4,0.4,20,20,0
random,128,0.4,0.45,20,20,0
random,128,0.4,0.49,20,20,0
random,128,0.5,0.0,20,20,0
random,128,0.5,0.1,20,20,0
random,128,0.5,0.2,20,20,0
random,128,0.5,0.3,20,20,0
random,128,0.5,0.4,20,20,0
random,128,0.5,0.45,20,20,0
random,128,0.5,0.49,20,20,0
random,128,0.6,0.0,20,20,0
random,128,0.6,0.1,20,20,0
random,128,0.6,0.2,20,20,0
random,128,0.6,0.3,20,20,0
random,128,0.6,0.4,20,20,0
random,128,0.6,0.45,20,20,0
random,128,0.6,0.49,20,20,0
random,128,0.7,0.0,20,20,0
random,128,0.7,0.1,20,20,0
random,128,0.7,0.2,20,20,0
random,128,0.7,0.3,20,20,0
random,128,0.7,0.4,20,20,0
random,128,0.7,0.45,20,20,0
random,128,0.7,0.49,20,20,0
random,128,0.8,0.0,20,20,0
random,128,0.8,0.1,20,20,0
random,128,0.8,0.2,20,20,0
random,128,0.8,0.3,20,20,0
random,128,0.8,0.4,20,20,0
random,128,0.8,0.45,20,20,0
random,128,0.8,0.49,20,20,0
random,128,0.9,0.0,20,20,0
random,128,0.9,0.1,20,20,0
random,128,0.9,0.2,20,20,0
random,128,0.9,0.3,20,20,0
random,128,0.9,0.4,20,20,0
random,128,0.9,0.45,20,20,0
random,128,0.9,0.49,20,20,0
random,128,1.0,0.0,20,20,0
random,128,1.0,0.1,20,20,0
random,128,1.0,0.2,20,20,0
random,128,1.0,0.3,20,20,0
random,128,1.0,0.4,20,20,0
random,128,1.0,0.45,20,20,0
random,128,1.0,0.49,20,20,0
traditional,32,0.1,0.0,20,20,0
traditional,32,0.1,0.1,20,20,0
traditional,32,0.1,0.2,20,20,0
traditional,32,0.1,0.3,20,20,0
traditional,32,0.1,0.4,17,20,3
traditional,32,0.1,0.45,7,20,13
traditional,32,0.1,0.49,0,20,20
traditional,32,0.2,0.0,20,20,0
traditional,32,0.2,0.1,20,20,0
traditional,32,0.2,0.2,20,20,0
traditional,32,0.2,0.3,20,20,0
